iter	Passed	Remaining
0	200	200073
1	205	102315
2	209	69697
3	213	53272
4	217	43334
5	221	36749
6	226	32084
7	230	28554
8	234	25798
9	238	23633
10	243	21851
11	246	20321
12	250	19033
13	254	17922
14	258	16965
15	262	16123
16	266	15386
17	270	14756
18	274	14164
19	278	13631
20	282	13166
21	286	12733
22	290	12333
23	294	11970
24	298	11634
25	302	11325
26	306	11038
27	310	10772
28	314	10524
29	318	10291
30	322	10070
31	326	9864
32	330	9681
33	334	9513
34	338	9345
35	343	9185
36	347	9042
37	351	8895
38	355	8754
39	359	8621
40	363	8495
41	366	8371
42	370	8253
43	374	8145
44	379	8050
45	383	7955
46	387	7861
47	392	7779
48	397	7718
49	401	7637
50	406	7557
51	410	7479
52	414	7403
53	418	7327
54	422	7254
55	425	7179
56	429	7111
57	434	7057
58	438	6995
59	442	6935
60	446	6880
61	451	6828
62	455	6775
63	459	6725
64	465	6690
65	469	6648
66	474	6607
67	479	6568
68	484	6532
69	488	6491
70	492	6448
71	497	6415
72	502	6378
73	506	6339
74	510	6301
75	515	6266
76	520	6236
77	524	6205
78	529	6174
79	534	6144
80	539	6116
81	543	6082
82	547	6045
83	551	6008
84	555	5974
85	559	5948
86	564	5924
87	569	5898
88	574	5875
89	578	5853
90	583	5829
91	589	5813
92	594	5793
93	598	5764
94	601	5734
95	605	5706
96	609	5676
97	613	5648
98	617	5622
99	623	5607
100	627	5588
101	632	5567
102	637	5549
103	642	5531
104	646	5512
105	652	5498
106	656	5479
107	661	5461
108	666	5445
109	671	5430
110	676	5415
111	681	5400
112	685	5383
113	690	5365
114	695	5350
115	701	5344
116	706	5328
117	710	5312
118	715	5297
119	720	5281
120	725	5267
121	730	5254
122	734	5238
123	739	5222
124	743	5207
125	747	5188
126	751	5168
127	755	5149
128	759	5129
129	763	5110
130	767	5090
131	771	5072
132	775	5055
133	779	5037
134	783	5019
135	787	5003
136	792	4991
137	797	4979
138	802	4969
139	807	4962
140	811	4946
141	815	4929
142	820	4914
143	824	4898
144	828	4883
145	832	4867
146	836	4856
147	841	4844
148	845	4828
149	849	4813
150	853	4798
151	857	4783
152	861	4767
153	865	4752
154	870	4747
155	875	4736
156	879	4721
157	883	4708
158	887	4694
159	891	4680
160	895	4666
161	899	4651
162	903	4637
163	906	4623
164	911	4611
165	915	4601
166	920	4590
167	925	4584
168	930	4576
169	935	4566
170	940	4557
171	944	4547
172	949	4538
173	954	4530
174	959	4525
175	964	4517
176	971	4515
177	976	4508
178	981	4502
179	988	4504
180	994	4501
181	1000	4497
182	1006	4493
183	1011	4487
184	1019	4491
185	1024	4484
186	1030	4481
187	1036	4476
188	1041	4470
189	1047	4465
190	1052	4458
191	1057	4452
192	1063	4445
193	1067	4436
194	1072	4427
195	1078	4423
196	1084	4420
197	1090	4415
198	1097	4415
199	1102	4411
200	1109	4410
201	1116	4409
202	1122	4406
203	1130	4411
204	1136	4408
205	1143	4407
206	1150	4405
207	1154	4397
208	1160	4391
209	1164	4381
210	1169	4372
211	1175	4368
212	1180	4363
213	1186	4358
214	1193	4356
215	1197	4348
216	1203	4343
217	1208	4334
218	1212	4324
219	1217	4317
220	1223	4311
221	1228	4303
222	1234	4299
223	1239	4294
224	1244	4285
225	1248	4275
226	1252	4265
227	1256	4254
228	1260	4244
229	1264	4234
230	1269	4226
231	1275	4223
232	1280	4215
233	1285	4207
234	1290	4200
235	1295	4192
236	1299	4185
237	1305	4179
238	1311	4175
239	1316	4169
240	1321	4162
241	1326	4154
242	1331	4147
243	1336	4139
244	1342	4137
245	1348	4132
246	1353	4126
247	1358	4118
248	1362	4110
249	1368	4104
250	1373	4098
251	1378	4090
252	1382	4083
253	1387	4076
254	1392	4068
255	1397	4060
256	1401	4052
257	1406	4044
258	1410	4034
259	1414	4026
260	1420	4020
261	1425	4014
262	1430	4008
263	1434	3999
264	1438	3990
265	1443	3982
266	1447	3974
267	1451	3964
268	1455	3955
269	1460	3948
270	1464	3939
271	1468	3930
272	1472	3921
273	1476	3912
274	1480	3903
275	1484	3895
276	1489	3888
277	1495	3884
278	1500	3878
279	1506	3872
280	1510	3865
281	1515	3859
282	1522	3856
283	1527	3851
284	1532	3845
285	1539	3842
286	1544	3836
287	1550	3832
288	1555	3826
289	1560	3821
290	1565	3814
291	1571	3811
292	1577	3806
293	1582	3799
294	1586	3792
295	1591	3785
296	1595	3777
297	1600	3769
298	1604	3761
299	1608	3753
300	1612	3744
301	1616	3735
302	1620	3726
303	1624	3718
304	1629	3712
305	1633	3705
306	1638	3698
307	1643	3692
308	1647	3684
309	1652	3677
310	1657	3671
311	1661	3663
312	1665	3656
313	1670	3650
314	1675	3642
315	1679	3635
316	1684	3630
317	1689	3624
318	1694	3617
319	1699	3611
320	1704	3605
321	1708	3597
322	1712	3589
323	1716	3581
324	1720	3574
325	1724	3565
326	1728	3557
327	1733	3551
328	1737	3544
329	1741	3536
330	1745	3528
331	1749	3520
332	1753	3512
333	1757	3503
334	1761	3496
335	1765	3489
336	1769	3481
337	1773	3473
338	1777	3466
339	1781	3459
340	1785	3450
341	1789	3443
342	1794	3436
343	1798	3430
344	1802	3422
345	1807	3416
346	1812	3410
347	1816	3403
348	1821	3397
349	1826	3391
350	1830	3384
351	1835	3378
352	1840	3372
353	1844	3366
354	1848	3358
355	1853	3352
356	1857	3345
357	1861	3337
358	1864	3329
359	1869	3323
360	1873	3315
361	1876	3308
362	1880	3300
363	1884	3293
364	1888	3285
365	1892	3278
366	1896	3270
367	1900	3263
368	1904	3256
369	1908	3248
370	1911	3241
371	1915	3234
372	1919	3226
373	1923	3219
374	1927	3212
375	1931	3204
376	1935	3197
377	1938	3190
378	1942	3183
379	1947	3177
380	1951	3169
381	1954	3162
382	1959	3156
383	1962	3148
384	1966	3142
385	1971	3135
386	1975	3129
387	1979	3122
388	1983	3115
389	1988	3109
390	1992	3103
391	1996	3096
392	2000	3089
393	2004	3082
394	2008	3075
395	2012	3069
396	2016	3062
397	2020	3055
398	2024	3048
399	2027	3041
400	2031	3035
401	2035	3028
402	2039	3021
403	2043	3014
404	2047	3008
405	2051	3001
406	2055	2995
407	2059	2988
408	2063	2981
409	2067	2974
410	2071	2968
411	2075	2961
412	2079	2955
413	2083	2949
414	2087	2942
415	2091	2935
416	2095	2929
417	2099	2922
418	2103	2916
419	2107	2909
420	2111	2903
421	2115	2897
422	2118	2890
423	2122	2883
424	2126	2877
425	2130	2870
426	2134	2864
427	2138	2857
428	2141	2850
429	2145	2844
430	2149	2837
431	2153	2831
432	2157	2825
433	2161	2818
434	2164	2812
435	2168	2805
436	2172	2799
437	2177	2793
438	2181	2787
439	2185	2781
440	2189	2775
441	2193	2769
442	2197	2762
443	2201	2756
444	2204	2749
445	2208	2743
446	2212	2737
447	2216	2730
448	2220	2724
449	2223	2718
450	2227	2711
451	2231	2705
452	2235	2699
453	2240	2694
454	2244	2688
455	2249	2683
456	2253	2677
457	2258	2672
458	2262	2666
459	2267	2661
460	2272	2656
461	2276	2651
462	2280	2644
463	2284	2638
464	2288	2632
465	2292	2626
